row_type,parameter,module,quantity,eta,multiplier,direct_probability,row_status,profile_status,is_expansion_node,is_adaptive_node,direction,closest_proportional_crossing,probability_error,probability_resolution_pass,relative_multiplier_resolution_pass,crossing_exists,observed_nonmonotonic,search_guard_reached,numerical_issues
profile,r_cT,TFP link,conditional arithmetic COV,-1.6,0.20189651799465538,0.08952220033404883,ok,no_resolved_crossing_in_evaluated_domain,True,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-1.52,0.21871188695221475,0.0895717947923872,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-1.4400000000000002,0.2369277586821217,0.08962994539364734,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-1.36,0.2566607769535559,0.0896981183144037,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-1.2800000000000011,0.2780373004531938,0.08977802723959348,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-1.2800000000000002,0.2780373004531941,0.08977802723959348,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-1.28,0.27803730045319414,0.0897780272395935,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-1.2000000000000002,0.301194211912202,0.08987167374243174,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-1.12,0.32627979462303947,0.0899813937234305,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-1.04,0.35345468195878016,0.09010991061521158,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.9600000000000001,0.382892885975112,0.09026039606030606,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.96,0.38289288597511206,0.09026039606030606,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.8800000000000001,0.4147829116815813,0.09043653872856015,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.8000000000000003,0.44932896411722145,0.09064262183950912,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.8,0.44932896411722156,0.09064262183950912,ok,no_resolved_crossing_in_evaluated_domain,True,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.76,0.46766642700990924,0.09075841326355827,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.7200000000000001,0.4867522559599716,0.09088360976727963,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.68,0.5066169923655895,0.09101895403979818,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.6400000000000006,0.5272924240430482,0.09116524379813107,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.6400000000000001,0.5272924240430485,0.09116524379813108,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.64,0.5272924240430485,0.09116524379813108,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.6000000000000001,0.5488116360940264,0.09132333524609734,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.56,0.5712090638488149,0.09149414664279928,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.52,0.5945205479701944,0.09167866196332965,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.48000000000000004,0.6187833918061408,0.0918779346295315,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
